_id,pin,address,billing_city,current_delq_tax,current_delq_pi,prior_years,prior_delq_tax,prior_delq_pi,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
2655445,0008A00051000000,829 WESTERN AVE,"PITTSBURGH, PA",9565.84,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01512858509358,40.451972261561295
2655446,0022S00108000000,909 W NORTH AVE,"TUCSON, AZ",499.37,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01741492984365,40.45325815441406
2655447,0003N00226000000,21 BELTZHOOVER AVE,"POMONA, CA",23.53,0,0,0,0,Residential,Allentown,3,18,4,18,3,4-5,-79.99723143094563,40.42514430955565
2655448,0013J00138000000,1817 WAITE ST,"ALIQUIPPA, PA",227.56,0,0,0,0,Residential,Arlington,3,16,4,16,3,4-8,-79.9798101603084,40.4173355144696
2655449,0032D00208000000,101 EADS ST,"PITTSBURGH, PA",556.55,0,0,0,0,Residential,Arlington,3,16,4,16,3,4-13,-79.96841177998041,40.41259526302736
2655450,0051B00022000A00,338 GROSS ST,"PITTSBURGH, PA",960.33,0,0,0,0,Residential,Bloomfield,7,8,2,8,5,3-6,-79.94497451744328,40.46114217941233
2655451,0051B00024000000,344 GROSS ST,"PITTSBURGH, PA",8210.93,0,0,0,0,Residential,Bloomfield,7,8,2,8,5,3-6,-79.94501068940512,40.46093037035634
2655452,0050N00002000000,136 PEARL ST,"OMAHA, NE",2278.22,0,0,0,0,Residential,Bloomfield,7,9,2,9,5,3-6,-79.94847661590404,40.46465313023544
2655453,0051B00022000B00,340 GROSS ST,"PITTSBURGH, PA",3344.49,0,0,0,0,Residential,Bloomfield,7,8,2,8,5,3-6,-79.94500265749402,40.46109531321677
2655454,0049R00015000000,4083 CABINET ST,"PITTSBURGH, PA",2018.08,0,0,0,0,Residential,Bloomfield,7,9,2,9,5,3-6,-79.9543218452723,40.46460542239623
2655455,0049L00348000100,4020 PENN AVE,"DALLAS, TX",246.3,0,0,0,0,Residential,Bloomfield,7,9,2,9,5,3-6,-79.95705253653738,40.46517344557084
2655456,0002L00221000000,1000 LOCUST ST,"PITTSBURGH, PA",1510.42,0,0,0,0,Gov't Owned,Bluff,6,1,3,1,2,2-4,-79.9908760879223,40.43646924757179
2655457,0075B00241000000,1803 DAVIS AVE,"IRVING, TX",44.73,0.73,0,0,0,Commercial,Brighton Heights,1,27,1,27,1,1-14,-80.0419544245997,40.47959650272553
2655458,0097D00054000000,808 BROOKLINE BLVD,"PITTSBURGH, PA",4881.05,0,0,0,0,Commercial,Brookline,4,19,4,19,6,4-26,-80.01987171587525,40.39327950344749
2655459,0062G00122000000,2426 WOODWARD AVE,"HARRISBURG, PA",1239.41,0,0,0,0,Residential,Brookline,4,19,4,19,6,4-26,-80.0232595020841,40.399605880173645
2655460,0001D00032000000,600 PENN AVE,"PITTSBURGH, PA",89790.73,0,0,0,0,Commercial,Central Business District,1,2,1,2,2,1-3,-80.00145181538569,40.44268974436032
2655461,0009N00165000000,135 9TH ST,"HOUSTON, TX",928.21,0,0,0,0,Commercial,Central Business District,1,2,1,2,2,1-3,-79.99831866152964,40.44409940728266
2655462,0049B00211000000,224 45TH ST,"DALLAS, TX",902.05,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95891524688234,40.471688659263044
2655463,0080P00226000000,178 HOME ST,"IRVING, TX",4042.63,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95923277392198,40.47385676442627
2655464,0049C00066000000,269 45TH ST,"SAN DIEGO, CA",423,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95728300724093,40.47103671532712
2655465,0080P00008000000,146 44TH ST,"HOMESTEAD, PA",923.46,0,0,0,0,Commercial,Central Lawrenceville,7,9,2,9,2,3-3,-79.9616856160577,40.472519823518354
2655466,0049F00256000000,284 MAIN ST,"ATLANTA, GA",338.24,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95815238068529,40.46809905385204
2655467,0049G00223000000,4222 GENEVA ST,"IRVING, TX",1678.1,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95513987437283,40.46742667070249
